CS1	CS2	CS3	CS4	CS5	CS6	CS7	CS8	CS9	CS10	CS11	CS12	CS13	CS14	CS15	CS16	CS17
IM_15	0.315517996983097	0.0489703175071097	0.121078264675115	0.142585584828264	0.119913189088452	0	0.0365059614185234	0.205537640097519	0	0.00270487324175958	0	0	0	0.00718617216016002	0	0	0
IM_152	0.33114553409707	0.245623308279606	0.0800120745811671	0.124656882076174	0.138625485873578	0	0.0333126953468393	0	0	0	0	0	0.0282811937716968	0.00787282014594959	0	0.0104700058279198	0
IM_153	0.336964671471576	0	0.30090046810657	0.190540615313389	0.127958611576149	0	0	0.0339061818354368	0	0	0	0	0	0.00972945169687852	0	0	0
IM_154	0.226056639625527	0.139233977730879	0.337735118075596	0.162358259524119	0.0586642115708589	0	0.0407777402610663	0	0	0.0351740532119532	0	0	0	0	0	0	0
IM_155	0.0584663016699706	0.133190212067941	0.252952365630442	0.369306122518436	0.036082947318291	0.0469622928408845	0	0	0	0.0903053003936718	0	0	0.0121671214096364	0.000357916396905667	0	0.000209419753820641	0
IM_158	0.26285975448172	0.2633496199356	0.163027365403447	0.0494096060067082	0.0363812542106915	0	0.0556479770254776	0.124135609558029	0.0272610647970213	0	0	0	0	0.00518460367433115	0	0.0127431449069747	0
IM_159	0.655643767982529	0.0314758785222977	0.118437033373665	0.0574081182025999	0.0129768858453022	0.0491230815684837	0	0	0.0129556414344327	0.0189435095556649	0.0117892340020389	0	0.00100621654562013	0.0302406329673656	0	0	0
IM_160	0.326173267505042	0.456364118645238	0.116412841394323	0.0254796662363609	0.00113531219367298	0.0534912723035103	0	0	0.00145253397526406	0.0126986073264035	0	0.00447757179742829	0	0.00231480862275678	0	0	0
IM_166	0.785088488962498	0.00936415688269445	0.0240755421139067	0.0238723398738959	0.0497514792976814	0.0424404592431944	0	0	0	0	0	0	0.022228398709117	0.0431791349170122	0	0	0
IM_167	0.34636600924389	0.263530297347991	0.129680435290591	0.0739776076334955	0.0913431554844871	0	0	0.0697969300560037	0	0	0	0	0.00632681654912281	0.0189787483944197	0	0	0
IM_169	0.114985571393625	0.271100622638037	0.367994575776946	0.16922051797071	0.0434834842121796	0.00899818526901116	0	0	0	0.00276185719485934	0	0	0.0173465589478261	0.00410862659680499	0	0	0
IM_170	0.209536983366848	0.360230468511502	0.13740371496318	0.0402965911341545	0.0672135676746081	0	0.0318035582668505	0.132407203888374	0	0	0	0	0.0132142627138247	0.00789364948065892	0	0	0
IM_171	0.210907475514569	0.200893020755587	0.229167922429509	0.11471830307945	0.0668463563893651	0	0.00623329337325338	0.160364969760313	0	0	0	0	0.00348906753591577	0.00737959116203698	0	0	0
IM_172	0.255593720332013	0.0760605145162421	0.228491706414095	0.0655353513850237	0.0328291698262803	0	0.0776655755343026	0.251643100247432	0	0	0	0	0	0.00685676241960687	0	0.00532409932500535	0
IM_174	0.159032569997548	0.0393012241817101	0.232046752414457	0.254582523865513	0.0320249202752465	0	0	0.2746880865567	0	0	0	0	0.00832392270882456	0	0	0	0
IM_18	0.21114260513636	0.340321737377248	0.200505932002223	0.0604309545160769	0.0803260229197784	0	0.0404629104295014	0.0617830539232087	0	0	0	0	0	0.00502678369560458	0	0	0
IM_180	0.504947263069076	0.169255279561848	0.16448579447536	0.0738559913176183	0.0206360725085237	0.0320780141105254	0	0	0	0	0	0	0.0209687076079509	0.0125157241896751	0.00125715315942333	0	0
