,JBLAB-19902,JBLAB-19904,JBLAB-19905,JBLAB-19906,JBLAB-19907,JBLAB-19917,JBLAB-19937,JBLAB-19938,JBLAB-19939,JBLAB-19941
ENSG00000198399,1392.374,1217.305,811.03,645.729,1129.381,1833.197,1295.334,8525.638,1497.704,762.161
ENSG00000242628,0,0,1.665,17.982,0,21.609,3.154,0.974,0,0
ENSG00000233747,52.741,103.539,86.599,72.747,71.021,94.361,187.151,148.958,166.061,247.6
ENSG00000084676,867.304,1668.23,594.533,546.827,878.717,816.835,774.887,1541.177,875.5,644.984
ENSG00000184924,426.62,501.243,691.124,394.794,547.283,359.436,379.558,524.759,688.418,1084.143
ENSG00000138092,501.63,576.72,984.227,1217.895,402.455,790.904,563.554,589.016,938.561,706.119
ENSG00000138031,1709.995,687.032,1782.766,1047.88,1497.021,865.816,1255.381,1435.057,376.265,879.338
ENSG00000271936,45.709,35.803,63.284,53.13,77.984,53.303,37.851,72.045,52.551,42.795
ENSG00000115137,131.268,137.406,73.276,145.493,64.059,77.074,296.497,141.169,99.847,97.817
ENSG00000224165,5.86,31.932,12.49,24.521,11.141,23.77,129.323,6.815,17.867,15.284
ENSG00000084710,2.344,33.868,4.163,645.729,0,69.15,115.655,65.23,271.163,214.995
ENSG00000276653,0,0,0,0,0,0,0,3.894,0,0
ENSG00000229593,9.376,15.482,10.825,3.27,4.178,12.966,8.411,12.657,7.357,10.189
ENSG00000115138,1.172,1.935,0,4.087,2.785,8.644,0,73.992,8.408,307.717
ENSG00000119772,1040.765,3254.21,1502.153,2124.368,1068.107,1225.973,1387.858,1887.771,1934.929,977.155
ENSG00000235072,0,5.806,10.825,1.635,9.748,3.602,10.514,4.868,0,5.095
ENSG00000138101,321.137,339.646,348.06,738.911,392.707,520.786,509.933,577.333,441.429,482.973
ENSG00000224220,0,0,0,0,8.355,0,0,0.974,0,0
ENSG00000143970,867.304,1227.949,909.286,1147.6,628.053,831.241,1442.531,1614.195,1332.694,1047.461
ENSG00000217643,0,1.935,1.665,0.817,0,0,0,18.498,4.204,1.019
ENSG00000218682,2.344,1.935,0.833,0.817,1.393,2.161,0,0,1.051,0
ENSG00000084731,296.524,716.062,179.026,729.102,314.723,888.146,591.942,379.696,133.48,657.211
ENSG00000237629,0,1.935,0,2.452,1.393,0,0,0,0,0
ENSG00000268412,399.663,440.281,558.728,313.056,445.625,412.739,219.744,353.409,587.52,468.708
ENSG00000084733,3531.333,4530.542,3901.102,4498.854,2950.872,3111.032,4065.793,4384.029,4685.449,4529.15
ENSG00000214465,4.688,4.838,2.498,1.635,8.355,1.441,0,2.921,5.255,3.057
ENSG00000157833,69.15,58.059,162.372,158.572,69.629,113.809,198.716,49.653,136.633,102.912
ENSG00000084754,3686.041,6952.572,5749.65,4411.394,3104.056,7015.129,4402.243,3652.871,2993.306,5147.641
ENSG00000138029,3020.327,5981.051,3758.714,2592.726,2595.765,2875.49,3592.66,1604.459,2371.102,2197.835
ENSG00000173567,0,8.709,4.163,0.817,6.963,4.322,18.925,2.921,1.051,3.057
ENSG00000138018,1354.869,1618.88,2664.574,1996.857,955.308,1890.822,2586.463,4670.262,2537.163,2729.717
ENSG00000157856,0,59.994,0.833,0,1.393,4.322,160.865,255.078,53.602,309.755
ENSG00000115155,0,3.871,0,0,2.785,1.441,10.514,0.974,0,0
ENSG00000173557,8.204,23.224,0.833,4.087,5.57,42.498,93.575,9.736,19.969,23.435
ENSG00000157884,0,0.968,0.833,0.817,0,0,4.206,2.921,0,0
ENSG00000171303,1.172,24.191,338.9,7.356,4.178,80.675,549.886,450.767,7.357,34.644
ENSG00000213699,1187.269,1637.265,1222.373,1147.6,1736.544,1520.581,1620.219,1895.56,2701.123,1190.112
ENSG00000115163,346.922,637.682,1105.798,1233.425,289.656,1071.106,439.488,916.139,883.908,1438.731
ENSG00000157851,0,1.935,0,141.407,0,97.963,1.051,11.683,3.153,149.783
ENSG00000084764,247.299,189.66,303.095,150.398,245.094,396.893,435.283,47.705,179.724,238.43
ENSG00000119777,2092.078,2708.455,1721.981,2078.595,1916.187,1616.383,1786.341,2188.607,3222.429,1705.691
ENSG00000084693,1235.322,1564.692,1935.979,2148.072,1155.84,1853.366,1895.688,1285.125,1522.929,2143.832
ENSG00000231636,0,0.968,0.833,2.452,0,0.72,0,0,0,0
ENSG00000272056,1.172,1.935,2.498,1.635,1.393,0.72,2.103,3.894,2.102,4.076
ENSG00000272148,2.344,4.838,3.331,6.539,8.355,3.602,10.514,5.841,3.153,1.019
ENSG00000228474,2203.421,3122.61,3000.976,4574.053,2418.907,2976.334,4357.033,2200.29,8675.123,4717.652
ENSG00000138080,5.86,29.997,16.654,16.348,20.889,17.288,4.206,39.917,4.204,21.398
ENSG00000138030,127.752,148.051,303.928,470.81,181.035,123.894,44.159,67.177,93.541,205.824
ENSG00000138028,37.505,99.668,3219.138,419.315,54.311,319.819,391.124,9.736,34.684,194.616
ENSG00000143994,3.516,5.806,29.976,125.876,2.785,28.092,56.776,0.974,7.357,6.114
ENSG00000138073,1123.979,1784.348,2196.608,2629.508,1317.379,2500.927,1340.545,1966.631,1815.112,1875.853
ENSG00000163792,0,21.288,0,16.348,2.785,2.161,7.36,0,0,0
ENSG00000138074,778.229,1422.447,764.4,1922.475,1456.636,1100.638,878.977,861.618,879.704,613.397
ENSG00000138085,1890.488,3170.992,2724.527,4001.07,1711.478,2901.421,5590.334,2301.542,4795.806,3815.898
ENSG00000084774,1557.631,2373.648,2611.282,3719.074,1747.685,1954.209,2293.12,2366.772,1130.898,2002.2
ENSG00000115194,1.172,2.903,1.665,975.95,0,83.556,3.154,3.894,14.714,21.398
ENSG00000163793,0,0,0,69.477,0,4.322,0,0.974,0,0
ENSG00000138100,0,54.188,3.331,123.424,15.318,21.609,6.308,0.974,0,41.776
ENSG00000163794,1.172,9.677,4.996,21.252,12.533,9.364,39.953,30.181,1.051,17.322
ENSG00000115204,745.412,1337.294,1644.542,1490.082,756.17,849.249,1211.221,836.305,1387.347,1138.146
ENSG00000115207,1795.553,3114.869,3433.137,2819.957,2172.421,2485.08,2535.995,2146.743,2352.184,1594.628
ENSG00000234945,0,2.903,0,0,0,0,1.051,1.947,1.051,1.019
ENSG00000234072,82.042,166.436,169.034,170.015,116.977,90.759,256.543,84.701,92.49,65.212
ENSG00000115211,528.587,867.983,1008.375,1440.222,639.193,936.407,714.957,836.305,912.286,598.113
ENSG00000115234,1945.574,2948.433,4172.556,2703.072,2074.941,2321.569,2291.017,1972.473,4761.123,3118.949
ENSG00000163795,51.569,690.903,497.942,1911.849,37.6,1205.084,319.628,339.779,320.561,264.922
ENSG00000115241,2995.714,6084.589,7170.201,5923.545,2899.347,6435.277,3154.223,4807.537,4771.633,5226.099
ENSG00000213453,5878.914,3701.265,821.022,1100.192,5062.02,4028.711,1202.81,2962.603,5162.612,1165.658
ENSG00000115216,2205.765,4637.951,3322.39,3462.417,2006.704,3659.911,2445.574,1955.922,3242.398,2265.084
ENSG00000157992,516.866,1465.024,1869.365,1963.344,707.429,1432.703,1001.991,600.699,470.857,1175.847
ENSG00000138002,972.787,945.395,726.929,1194.191,621.09,591.377,1338.442,579.28,613.796,276.13
ENSG00000235267,1.172,1.935,7.494,3.27,1.393,3.602,1.051,3.894,1.051,2.038
ENSG00000115226,14.064,13.547,29.144,59.669,30.637,18.728,120.912,10.709,26.276,37.7
ENSG00000221843,0,0,0.833,0,0,0,3.154,0,0,0
ENSG00000243943,334.029,526.402,880.975,1090.384,277.123,759.93,725.471,692.215,618,727.517
ENSG00000176714,91.419,58.059,47.463,268.1,82.162,69.87,142.991,61.336,169.214,69.287
